Id,Name,Current_Location,Age,Past_Travel_Destinations,Number_of_Trips,Past_Travel_Destinations,Number_of_Trips,Flight_Number,Departure_City,Arrival_City,Flight_Date
24,Philip Cook,Zurich,29,Ljubljana,1,Ljubljana,1,Z1823,Zurich,Ljubljana,2024-10-11
918,Andrew Macdonald,Paris,62,"Lisbon, Lisbon, Bergen, Paris, Warsaw",5,"Lisbon, Lisbon, Bergen, Paris, Warsaw",5,O1142,Paris,Lisbon,2024-10-21
,,,,,,,,U7234,Paris,Lisbon,2024-03-23
,,,,,,,,H9041,Paris,Bergen,2024-03-25
,,,,,,,,Y7505,Paris,Paris,2023-09-13
,,,,,,,,X8568,Paris,Warsaw,2023-05-17
709,Jonathan Garcia,Sacramento,43,New York,1,New York,1,P8336,Sacramento,New York,2023-07-10
314,Wendy Yu,Moscow,34,"Prague, Valencia, Reykjavik, London",4,"Prague, Valencia, Reykjavik, London",4,P6922,Moscow,Prague,2023-01-02
,,,,,,,,I1305,Moscow,Valencia,2024-05-26
,,,,,,,,S2309,Moscow,Reykjavik,2023-04-14
,,,,,,,,I3285,Moscow,London,2022-11-13
429,James Camacho,Honolulu,58,Savannah,1,Savannah,1,P1380,Honolulu,Savannah,2023-08-18
405,Michael Buckley,Boston,34,"San Diego, Seattle",2,"San Diego, Seattle",2,L4933,Boston,San Diego,2024-01-04
,,,,,,,,T9701,Boston,Seattle,2023-09-08
57,Richard Adams,Oslo,30,"Bergen, Brussels, Venice, Valencia",4,"Bergen, Brussels, Venice, Valencia",4,B4940,Oslo,Bergen,2024-01-24
,,,,,,,,X6302,Oslo,Brussels,2023-01-27
,,,,,,,,Z5293,Oslo,Venice,2024-06-14
,,,,,,,,X3688,Oslo,Valencia,2022-12-19
36,Tonya Frank,St. Petersburg,35,"Amsterdam, Malaga, Prague, Munich, Salzburg",5,"Amsterdam, Malaga, Prague, Munich, Salzburg",5,I2224,St. Petersburg,Amsterdam,2022-12-06
,,,,,,,,N1951,St. Petersburg,Malaga,2023-08-09
,,,,,,,,Y1095,St. Petersburg,Prague,2023-02-23
,,,,,,,,B6582,St. Petersburg,Munich,2023-10-31
,,,,,,,,F9633,St. Petersburg,Salzburg,2022-11-30
731,Michelle Mckenzie DDS,Bologna,37,"Luxembourg, Luxembourg",2,"Luxembourg, Luxembourg",2,T4684,Bologna,Luxembourg,2023-10-19
,,,,,,,,F3794,Bologna,Luxembourg,2022-12-09
93,Nicholas Burke,Tallinn,28,"Berlin, Lyon",2,"Berlin, Lyon",2,X2409,Tallinn,Berlin,2023-03-24
,,,,,,,,D3875,Tallinn,Lyon,2023-04-13
582,Holly Reyes,Ljubljana,39,"Pittsburgh, Zurich",2,"Pittsburgh, Zurich",2,B1233,Ljubljana,Pittsburgh,2024-10-06
,,,,,,,,E1228,Ljubljana,Zurich,2024-08-06
35,Yvonne Delgado,Dubrovnik,71,"Madrid, London, Barcelona, St. Petersburg, Krakow",5,"Madrid, London, Barcelona, St. Petersburg, Krakow",5,F7777,Dubrovnik,Madrid,2024-10-14
,,,,,,,,I2326,Dubrovnik,London,2023-09-20
,,,,,,,,S4419,Dubrovnik,Barcelona,2024-04-25
,,,,,,,,O2326,Dubrovnik,St. Petersburg,2024-06-22
,,,,,,,,Q2646,Dubrovnik,Krakow,2022-12-07
730,Jacob Nelson,Phoenix,19,Providence,1,Providence,1,F3455,Phoenix,Providence,2023-05-20
